  +0.0000000000000000E+00   +9.9999999999999978E-02
  +5.0000000000000003E-02   +4.8403035416579576E-01
  +1.0000000000000001E-01   +6.7012060970455634E-01
  +1.5000000000000002E-01   +7.6029468795340938E-01
  +2.0000000000000001E-01   +8.0399049762645580E-01
  +2.5000000000000000E-01   +8.2516425199202803E-01
  +2.9999999999999999E-01   +8.3542445491052753E-01
  +3.4999999999999998E-01   +8.4039625925430295E-01
  +3.9999999999999997E-01   +8.4280545511808214E-01
  +4.4999999999999996E-01   +8.4397288334106058E-01
  +5.0000000000000000E-01   +8.4453858606216226E-01
  +5.4999999999999993E-01   +8.4481270961199850E-01
  +5.9999999999999998E-01   +8.4494554213652384E-01
